variety,description
Bordeaux-style Red Blend,"Cabernet Sauvignon comprises 59% of this wine, with 35% Malbec and 6% Petit Verdot blended in for good measure. Together, they offer firm lengthy tannins and a generous presence of body and weight. The darker characteristics of chocolate and blackberry are balanced by crisp red currant and spicy clove."
Bordeaux-style Red Blend,"Dark, viscous and monumental, this Cabernet-based Bordeaux blend detonates on the palate with black currants, chocolate and cedar concentration, wrapped into the most perfect tannins. Outstanding, and should age for many years. Only 277 cases of this wine, which was grown on steep hillsides, were produced."
Bordeaux-style Red Blend,The wine is structured while also juicy. Its red-berry fruits are in the process of coming together with the tannins to give a rich wine. It has plenty of acidity at the end to give a crisp aftertaste.
Bordeaux-style Red Blend,"A new wood aged selection of vines from Château Haut Beyzac, a property being restored by Pennsylvanian Daren Miller and his French in-laws. It is delicious, elegant, offering classic black currant flavors of Bordeaux, but with an extra depth and richness. Fine, elegant acidity to finish."
Bordeaux-style Red Blend,"This juicy, fruity wine has red berry fruit and gentle tannins. Although ripe, it's not rich but attractive and likely to age quickly. Drink from 2019."
Bordeaux-style Red Blend,"The nose on this bright red blend from Sanders Ridge is spicy and smoky with abundant red fruit, leather and tobacco. The cheery red fruits carry through on the palate as well with a plush, but pleasant demeanor. There's not a lot of structure or depth, but it's an easy, fun wine."
Bordeaux-style Red Blend,"This intensely ripe wine is made predominantly from Cabernet Sauvignon, with smaller amounts of Malbec and Merlot. Its waxy cherry, currant and blueberry flavers are laced wtih milk chocolate and smoky oak richness, a dash of high-toned acidity sparking on the finish."
Bordeaux-style Red Blend,"Rich Bordeaux, with concentrated blackberry fruits and dry tannins. There is a dry core and intense acidity. The wine is ready to drink, but could mature for 1–2 years."
Bordeaux-style Red Blend,"Hugely tannic at this stage, this dense and complex wine has great structure partnered with dark black fruit and licorice. There is forward bitterness, suggesting this wine needs aging. Drink from 2017."
Bordeaux-style Red Blend,"An attractively fruity wine, its tannins softened with sweet black plum flavors. The acidity gives a lift while the ripe feel of the wine gives it a broader base. Touches of toast add further complexity."
Bordeaux-style Red Blend,"Ripe bramble, black cherry and berry notes are enticingly fragrant on this Merlot-based Bordeaux-blend. The palate is concentrated with cherry and berry flavors too, but more tart and crisp in profile, with a nervy cranberry acidity that reverberates on the finish."
Bordeaux-style Red Blend,"This wine shows black currant fruit, with just the right balancing acidity. Talbot is progressing well in its quest to bring out its fine terroir."
Bordeaux-style Red Blend,"This is a ripe, spicy and full-bodied wine from the Robin group of producers created by Grand Moulin's Jean-Francois Renaud in Blaye. The wine has both structure and rich blackberry fruit. The tannins are dusty, spicy and with fine acidity to balance. Drink this fine wine from 2019."
Bordeaux-style Red Blend,"A big, ripe and juicy wine packed with black fruit notes and laced with acidity. The tannins offer a contrast to the fruitiness, bringing balance and structure. This is an impressive wine, the smoky aftertaste bringing out the wood aging."
Bordeaux-style Red Blend,"Warm and rich, the wine from vineyards on the slopes above Cadillac have the structure of the vintage along with the ripe, blackberry fruits. It is already attractive to drink, and will continue to age nicely over the medium term."
Bordeaux-style Red Blend,"Produced from a 17-acre vineyard, dominated by Merlot, this is the top wine of Château Renard. It is structured and firm with tannins and dense concentration that will probably remain with this rich wine as it matures. Drink from 2018."
Bordeaux-style Red Blend,"Quilceda's single-vineyard Bordeaux-style blend is 86% Cabernet Sauvignon, 8% Cabernet Franc and 6% Merlot. This has fine grained tannins—not soft, but polished, ripe, and rich. Tasted prior to its official release, the wine was still pulling together all of the complex barrel-influenced flavors; it tasted delicious, with notes of bourbon-soaked cherries, along with veins of espresso, cacao, dusty baking spice, and a liquorous finish."
Bordeaux-style Red Blend,"This is a dry wine, packed with tannins at this stage. With concentrated fruits and spice in the background, it will become a rich structured wine. This Merlot/Cabernet Sauvignon wine was vinified for 12 months in French oak and six months in underground cement vats—aiming for drinkability for at least 10 years. But go ahead and drink the wine starting from 2019."
Bordeaux-style Red Blend,"After the promise of the wine at its initial barrel tasting, this bottled wine is less exciting. Berry fruits are muted by the extracted tannins. It's likely the wine will develop quickly. Drink from 2018."
Bordeaux-style Red Blend,"Continuing its impressive development, Clerc Milon 2011 is a serious wine. It is elegant, stylish, its fruits well integrated with red berry and plum skin flavors. Powerful while round and fruity with a fine sense of weight, this wine will develop relatively quickly but will then stay at its peak for many years. Drink from 2017."
Bordeaux-style Red Blend,"Produced at Château Haut-Bailly, this concentrated red show the attractive fruit of 2011. It's tannins are relatively gentle, a fine counter-point to the red berry and currant fruits. It's a wine for medium-term aging over the next 4–6 years."
Bordeaux-style Red Blend,"Minty wood flavors underline the fruitiness of this ripe wine. Structured and concentrated, it has density and some fine acidity to balance. Its fruit is backed by tannins that suggest a good future. Drink from 2020."
Bordeaux-style Red Blend,"A wine from a château that is still finding its form . It is soft, open, with attractive juicy red fruits and black currants, ready to drink soon."
Bordeaux-style Red Blend,"This wine is principally Cabernet Sauvignon (52%), Merlot (35%), along with dollops of Petit Verdot, Malbec, Cabernet Franc and Carmenère. The aromas show complexity, with notes of herb, pink peppercorn, dark fruit, coffee and wood spice. The flavors are supple and layered, with bright acidity and firm tannins providing the frame."
Bordeaux-style Red Blend,"88-90 Barrel sample. Good, with dense tannins, a powerful wine that shows a rich structure. It has obvious acidity, but that fits into a fresh profile."
Bordeaux-style Red Blend,"This is smooth and lush, with its tannins softened by ripe berry fruit and a strong presence of spicy wood. It has weight, density and, on the finish, fruitiness."
Bordeaux-style Red Blend,"This wood-aged wine is seriously rich and powerful, with some bitterness from extraction. Dark chocolate flavors and firm tannins dominate it now; the fruit is there, but submerged. Give it until 2020 before opening."
Bordeaux-style Red Blend,"The concentration that Christian Roche produces here is immense, a wine that has dark tannins, the most bitter of chocolate flavors and peppered cherry fruits. Even after four years, this is nowhere open yet, the tannins and the heavy toast wood still dark and dry. Age for 3–4 years more."
Bordeaux-style Red Blend,"This shows just how good Gimblett Gravels reds can be even at such a fair price point. Senior Winemaker Gordon Russell has fashioned a full-bodied, dark and dense wine that shows hints of vanilla and cedar which frame dark plum and cassis fruit, then slowly fade into a long, velvety finish. Drink 2020–2030."
Bordeaux-style Red Blend,"The tannins are very fine, with rich fruitcake and smoky flavors. Red berry and black plums give a fruity character, along with delicious acidity. The wine is structured while still remaining very approachable."
Bordeaux-style Red Blend,"Now maturing well, this is a wine that reflects much of the freshness of 2008, with firm tannins and solid structure. A black currant flavor dominates this elegant offering, providing acidity as well as freshness. It could age for another few years, but is ready to drink now."
